,Заказ наряд,Дата,Цена,ТС,Гос номер
391,"Заказ-наряд №: 2721 от 29.12.2021, ТС: Volkswagen Polo гос. номер: О518МТ198",2021-12-29,3500,Volkswagen Polo,О518МТ198
392,"Заказ-наряд №: 2727 от 30.12.2021, ТС: Nissan Almera гос. номер: Р918ХА72",2021-12-30,1250,Nissan Almera,Р918ХА72
393,"Заказ-наряд №: 2732 от 30.12.2021, ТС: Nissan Pathfinder гос. номер: У358ХУ72",2021-12-30,10000,Nissan Pathfinder,У358ХУ72
394,"Заказ-наряд №: 2743 от 04.01.2022, ТС: BMW X6 гос. номер: У463РО72",2022-01-04,2000,BMW X6,У463РО72
395,"Заказ-наряд №: 2745 от 04.01.2022, ТС: Toyota Alphard гос. номер: В522ОТ89",2022-01-04,2200,Toyota Alphard,В522ОТ89
396,"Заказ-наряд №: 2746 от 04.01.2022, ТС: Daewoo Nexia гос. номер: К518УК86",2022-01-04,2600,Daewoo Nexia,К518УК86
397,"Заказ-наряд №: 2748 от 04.01.2022, ТС: LADA VESTA гос. номер: М706ЕН797",2022-01-04,1000,LADA VESTA,М706ЕН797
398,"Заказ-наряд №: 2751 от 05.01.2022, ТС: ВАЗ Веста гос. номер: Т444ЕР72",2022-01-05,2200,ВАЗ Веста,Т444ЕР72
399,"Заказ-наряд №: 2752 от 04.01.2022, ТС: Mercedes-Benz E-Class гос. номер:У844УТ72",2022-01-04,1000,Mercedes-Benz E-Class,844УТ72
400,"Заказ-наряд №: 2754 от 06.01.2022, ТС: Datsun On-Do гос. номер: В237ВС147",2022-01-06,1000,Datsun On-Do,В237ВС147
401,"Заказ-наряд №: 2755 от 03.02.2022, ТС: HAVAL HAVAL H5 CC6461KM2E гос. номер:С543НА89",2022-02-03,2000,HAVAL HAVAL H5 CC6461KM2E,543НА89
402,"Заказ-наряд №: 2764 от 05.01.2022, ТС: Volkswagen Polo гос. номер: О543ЕМ72",2022-01-05,2000,Volkswagen Polo,О543ЕМ72
403,"Заказ-наряд №: 2765 от 05.01.2022, ТС: Renault Logan гос. номер: О285УР198",2022-01-05,1000,Renault Logan,О285УР198
404,"Заказ-наряд №: 2766 от 05.01.2022, ТС: Daewoo Matiz гос. номер: С230ХУ72",2022-01-05,700,Daewoo Matiz,С230ХУ72
405,"Заказ-наряд №: 2770 от 05.01.2022, ТС: Toyota RAV4 гос. номер: У972ТЕ72",2022-01-05,1000,Toyota RAV4,У972ТЕ72
406,"Заказ-наряд №: 2781 от 08.01.2022, ТС: Opel Astra гос. номер: НР779УУ72",2022-01-08,1000,Opel Astra,НР779УУ72
407,"Заказ-наряд №: 2783 от 08.01.2022, ТС: Hyundai Elantra гос. номер: К855НР186",2022-01-08,2500,Hyundai Elantra,К855НР186
408,"Заказ-наряд №: 2786 от 08.01.2022, ТС: Toyota Corolla гос. номер: С736УТ86",2022-01-08,4150,Toyota Corolla,С736УТ86
409,"Заказ-наряд №: 2787 от 08.01.2022, ТС: Mercedes-Benz G500 гос. номер: у 813 ср 72",2022-01-08,2000,Mercedes-Benz G500,у 813 ср 72
410,"Заказ-наряд №: 2795 от 09.01.2022, ТС: Volkswagen Transporter гос. номер:Р023УУ72",2022-01-09,6500,Volkswagen Transporter,023УУ72
411,"Заказ-наряд №: 2799 от 09.01.2022, ТС: Toyota Land Cruiser гос. номер: К553УМ86",2022-01-09,2500,Toyota Land Cruiser,К553УМ86
412,"Заказ-наряд №: 2835 от 12.01.2022, ТС: LADA LARGUS KSA45L гос. номер:О098ХК72",2022-01-12,2000,LADA LARGUS KSA45L,098ХК72
413,"Заказ-наряд №: 2840 от 11.01.2022, ТС: Datsun On-Do гос. номер: у842оу43",2022-01-11,1000,Datsun On-Do,у842оу43
414,"Заказ-наряд №: 2843 от 14.01.2022, ТС: УАЗ УАЗ 390995 Фургон гос. номер: ",2022-01-14,1500,УАЗ УАЗ 390995 Фургон,
415,"Заказ-наряд №: 2848 от 12.01.2022, ТС: Kia Ceed гос. номер: Н355МА72",2022-01-12,2500,Kia Ceed,Н355МА72
416,"Заказ-наряд №: 2852 от 12.01.2022, ТС: ВАЗ 2121 4x4 Нива гос. номер: Т595ТМ72",2022-01-12,1000,ВАЗ 2121 4x4 Нива,Т595ТМ72
417,"Заказ-наряд №: 2853 от 12.01.2022, ТС: Kia Ceed гос. номер: Р511ОХ86",2022-01-12,2500,Kia Ceed,Р511ОХ86
418,"Заказ-наряд №: 2855 от 12.01.2022, ТС: Nissan X-TRAIL гос. номер: Б/Н",2022-01-12,1000,Nissan X-TRAIL,Б/Н
419,"Заказ-наряд №: 2857 от 12.01.2022, ТС: Mitsubishi Pajero Sport гос. номер:Р840РВ72",2022-01-12,2500,Mitsubishi Pajero Sport,840РВ72
420,"Заказ-наряд №: 2860 от 12.01.2022, ТС: Daewoo Matiz гос. номер: С230ХУ72",2022-01-12,500,Daewoo Matiz,С230ХУ72
421,"Заказ-наряд №: 2868 от 13.01.2022, ТС: Lexus RX350 гос. номер: К720ТС72",2022-01-13,800,Lexus RX350,К720ТС72
422,"Заказ-наряд №: 2882 от 14.01.2022, ТС: Toyota Corolla гос. номер: Т401КТ45",2022-01-14,2000,Toyota Corolla,Т401КТ45
423,"Заказ-наряд №: 2888 от 14.01.2022, ТС: Chevrolet KLAS (AVEO) гос. номер:А798НВ750",2022-01-14,2500,Chevrolet KLAS (AVEO),798НВ750
424,"Заказ-наряд №: 2890 от 15.01.2022, ТС: Hyundai i40 гос. номер: Р702КЕ72",2022-01-15,1000,Hyundai i40,Р702КЕ72
425,"Заказ-наряд №: 2895 от 15.01.2022, ТС: Ford Fusion гос. номер: Н760МВ45",2022-01-15,2000,Ford Fusion,Н760МВ45
426,"Заказ-наряд №: 2899 от 15.01.2022, ТС: Volkswagen Touareg гос. номер: Н111АН72",2022-01-15,1000,Volkswagen Touareg,Н111АН72
427,"Заказ-наряд №: 2904 от 16.01.2022, ТС: LADA GFL 110 VESTA гос. номер:М231ЕР797",2022-01-16,1000,LADA GFL 110 VESTA,231ЕР797
428,"Заказ-наряд №: 2905 от 18.01.2022, ТС: ВАЗ 21101 LADA 110 гос. номер: Т023ОС72",2022-01-18,1500,ВАЗ 21101 LADA 110,Т023ОС72
429,"Заказ-наряд №: 2910 от 18.01.2022, ТС: Hyundai Sonata гос. номер: У130НХ72",2022-01-18,4100,Hyundai Sonata,У130НХ72
430,"Заказ-наряд №: 2912 от 16.01.2022, ТС: Nissan Teana гос. номер: Т186ТР72",2022-01-16,1000,Nissan Teana,Т186ТР72
431,"Заказ-наряд №: 2913 от 16.01.2022, ТС: Renault Logan гос. номер: У720РС72",2022-01-16,3000,Renault Logan,У720РС72
432,"Заказ-наряд №: 2918 от 18.01.2022, ТС: Volkswagen Touareg гос. номер: Н796УС178",2022-01-18,1000,Volkswagen Touareg,Н796УС178
433,"Заказ-наряд №: 2938 от 18.01.2022, ТС: Mitsubishi ASX гос. номер: В249АО186",2022-01-18,1900,Mitsubishi ASX,В249АО186
434,"Заказ-наряд №: 2939 от 18.01.2022, ТС: Mitsubishi Lancer гос. номер: А222МТ72",2022-01-18,1000,Mitsubishi Lancer,А222МТ72
435,"Заказ-наряд №: 2942 от 28.01.2022, ТС: Nissan X-Trail гос. номер: О586ТВ72",2022-01-28,10500,Nissan X-Trail,О586ТВ72
436,"Заказ-наряд №: 2947 от 19.01.2022, ТС: Volkswagen Jetta гос. номер: Т261УМ72",2022-01-19,2000,Volkswagen Jetta,Т261УМ72
437,"Заказ-наряд №: 2952 от 19.01.2022, ТС: Chevrolet КL1J СRUZЕ гос. номер:М812УА86",2022-01-19,700,Chevrolet КL1J СRUZЕ,812УА86
438,"Заказ-наряд №: 2953 от 19.01.2022, ТС: LADA VESTA гос. номер: М884ЕУ797",2022-01-19,100,LADA VESTA,М884ЕУ797
439,"Заказ-наряд №: 2956 от 21.01.2022, ТС: Mitsubishi Pajero гос. номер: ",2022-01-21,1500,Mitsubishi Pajero,
440,"Заказ-наряд №: 2958 от 19.01.2022, ТС: Renault Duster гос. номер: С165СВ72",2022-01-19,600,Renault Duster,С165СВ72
441,"Заказ-наряд №: 2976 от 21.01.2022, ТС: Renault Sandero гос. номер: С494СР72",2022-01-21,1700,Renault Sandero,С494СР72
442,"Заказ-наряд №: 2982 от 08.02.2022, ТС: Toyota RAV4 гос. номер: Е710РО52",2022-02-08,1000,Toyota RAV4,Е710РО52
443,"Заказ-наряд №: 2987 от 21.01.2022, ТС: ГАЗ 31105 гос. номер: Н352ЕН72",2022-01-21,1000,ГАЗ 31105,Н352ЕН72
444,"Заказ-наряд №: 2988 от 21.01.2022, ТС: Toyota Corolla гос. номер: К284РВ72",2022-01-21,1000,Toyota Corolla,К284РВ72
445,"Заказ-наряд №: 2990 от 21.01.2022, ТС: ВАЗ 2110 гос. номер: К598РО86",2022-01-21,5800,ВАЗ 2110,К598РО86
446,"Заказ-наряд №: 2992 от 22.01.2022, ТС: Toyota Camry гос. номер: Е713ОН95",2022-01-22,1000,Toyota Camry,Е713ОН95
447,"Заказ-наряд №: 2993 от 22.01.2022, ТС: Toyota RAV4 гос. номер: 0000",2022-01-22,1000,Toyota RAV4,0000
448,"Заказ-наряд №: 2995 от 22.01.2022, ТС: Chevrolet Cruze гос. номер: Т467ХЕ72",2022-01-22,1000,Chevrolet Cruze,Т467ХЕ72
449,"Заказ-наряд №: 2996 от 22.01.2022, ТС: Daewoo Nexia гос. номер: О589НА72",2022-01-22,2000,Daewoo Nexia,О589НА72
450,"Заказ-наряд №: 3008 от 24.01.2022, ТС: Toyota LАND СRUISЕR 200 гос. номер:В634КУ186",2022-01-24,1000,Toyota LАND СRUISЕR 200,634КУ186
451,"Заказ-наряд №: 3021 от 25.01.2022, ТС: Toyota Camry гос. номер: С933МУ72",2022-01-25,1200,Toyota Camry,С933МУ72
452,"Заказ-наряд №: 3026 от 25.01.2022, ТС: LADA VESTA GFK 110 гос. номер:Е173ЕН797",2022-01-25,1000,LADA VESTA GFK 110,173ЕН797
453,"Заказ-наряд №: 3027 от 25.01.2022, ТС: Toyota LАND СRUISЕR 200 гос. номер:В729ХТ89",2022-01-25,1000,Toyota LАND СRUISЕR 200,729ХТ89
454,"Заказ-наряд №: 3029 от 25.01.2022, ТС: LADA GFL 110 VESTA гос. номер:М710ЕН797",2022-01-25,1000,LADA GFL 110 VESTA,710ЕН797
455,"Заказ-наряд №: 3030 от 25.01.2022, ТС: ВАЗ Гранта гос. номер: Т140ЕХ72",2022-01-25,1000,ВАЗ Гранта,Т140ЕХ72
456,"Заказ-наряд №: 3040 от 26.01.2022, ТС: LADA GFL 110 VESTA гос. номер:М710ЕН797",2022-01-26,400,LADA GFL 110 VESTA,710ЕН797
457,"Заказ-наряд №: 3041 от 26.01.2022, ТС: Kia Sorento гос. номер: Т649РР72",2022-01-26,2000,Kia Sorento,Т649РР72
458,"Заказ-наряд №: 3044 от 04.04.2022, ТС: Chevrolet КL1Т АVЕО гос. номер: Т896СО56",2022-04-04,2000,Chevrolet КL1Т АVЕО,Т896СО56
459,"Заказ-наряд №: 3043 от 26.01.2022, ТС: Hyundai Accent гос. номер: Н185ЕР18",2022-01-26,500,Hyundai Accent,Н185ЕР18
460,"Заказ-наряд №: 3046 от 26.01.2022, ТС: LADA VESTA GFK 110 гос. номер:М094ЕУ797",2022-01-26,1400,LADA VESTA GFK 110,094ЕУ797
461,"Заказ-наряд №: 3050 от 26.01.2022, ТС: Audi A4 гос. номер: М082СК196",2022-01-26,2000,Audi A4,М082СК196
462,"Заказ-наряд №: 3051 от 26.01.2022, ТС: Toyota PRADO 120 гос. номер: О070МР72",2022-01-26,2000,Toyota PRADO 120,О070МР72
463,"Заказ-наряд №: 3057 от 26.01.2022, ТС: Hyundai Solaris гос. номер: Р970УВ72",2022-01-26,1300,Hyundai Solaris,Р970УВ72
464,"Заказ-наряд №: 3060 от 27.01.2022, ТС: ВАЗ Веста гос. номер: Т544ЕР72",2022-01-27,1000,ВАЗ Веста,Т544ЕР72
465,"Заказ-наряд №: 3077 от 28.01.2022, ТС: Mazda BT-50 гос. номер: У392НН72",2022-01-28,300,Mazda BT-50,У392НН72
466,"Заказ-наряд №: 3081 от 28.01.2022, ТС: ВАЗ 2112 гос. номер: ",2022-01-28,1000,ВАЗ 2112,
467,"Заказ-наряд №: 3085 от 28.01.2022, ТС: Toyota Corolla гос. номер: К284РВ72",2022-01-28,1000,Toyota Corolla,К284РВ72
468,"Заказ-наряд №: 3086 от 28.01.2022, ТС: Mazda BT-50 гос. номер: У392НН72",2022-01-28,1000,Mazda BT-50,У392НН72
469,"Заказ-наряд №: 3096 от 29.01.2022, ТС: Mitsubishi Pajero Sport гос. номер:Р840РВ72",2022-01-29,4250,Mitsubishi Pajero Sport,840РВ72
470,"Заказ-наряд №: 3100 от 30.01.2022, ТС: Kia Rio гос. номер: У196НК72",2022-01-30,1400,Kia Rio,У196НК72
471,"Заказ-наряд №: 3105 от 30.01.2022, ТС: Daewoo Nexia гос. номер: К935ЕТ45",2022-01-30,2300,Daewoo Nexia,К935ЕТ45
472,"Заказ-наряд №: 3106 от 30.01.2022, ТС: Шкода Октавия гос. номер: Т817ХР72",2022-01-30,1000,Шкода Октавия,Т817ХР72
473,"Заказ-наряд №: 3108 от 30.01.2022, ТС: Kia Ceed гос. номер: К389МА186",2022-01-30,1000,Kia Ceed,К389МА186
474,"Заказ-наряд №: 3109 от 30.01.2022, ТС: Hyundai Solaris гос. номер: У785МР72",2022-01-30,300,Hyundai Solaris,У785МР72
475,"Заказ-наряд №: 3110 от 30.01.2022, ТС: ВАЗ ВАЗ 111730 гос. номер: С878РО72",2022-01-30,0,ВАЗ ВАЗ 111730,С878РО72
476,"Заказ-наряд №: 3137 от 01.02.2022, ТС: ВАЗ Нива Шевроле гос. номер: У343ВО89",2022-02-01,3400,ВАЗ Нива Шевроле,У343ВО89
477,"Заказ-наряд №: 3139 от 01.02.2022, ТС: ВАЗ 2112 гос. номер: А254УХ196",2022-02-01,2000,ВАЗ 2112,А254УХ196
478,"Заказ-наряд №: 3144 от 02.02.2022, ТС: Opel Insignia гос. номер: К845ЕХ196",2022-02-02,6000,Opel Insignia,К845ЕХ196
479,"Заказ-наряд №: 3153 от 02.02.2022, ТС: LADA VESTA гос. номер: Х276ЕТ797",2022-02-02,1500,LADA VESTA,Х276ЕТ797
480,"Заказ-наряд №: 3155 от 02.02.2022, ТС: LADA Granta гос. номер: Р457МР45",2022-02-02,100,LADA Granta,Р457МР45
481,"Заказ-наряд №: 3156 от 02.02.2022, ТС: ДЖИП GRAND CHEROKEE гос. номер:О699УХ72",2022-02-02,2000,ДЖИП GRAND CHEROKEE,699УХ72
482,"Заказ-наряд №: 3159 от 02.02.2022, ТС: Kia Cerato гос. номер: Н922СМ72",2022-02-02,1000,Kia Cerato,Н922СМ72
483,"Заказ-наряд №: 3160 от 02.02.2022, ТС: ВАЗ X-REY гос. номер: С581ОУ72",2022-02-02,1400,ВАЗ X-REY,С581ОУ72
484,"Заказ-наряд №: 3161 от 12.02.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-02-12,0,Toyota Hilux Pick Up,777
485,"Заказ-наряд №: 3162 от 02.02.2022, ТС: ГАЗ Некст гос. номер: М269АМ159",2022-02-02,4950,ГАЗ Некст,М269АМ159
486,"Заказ-наряд №: 3164 от 02.02.2022, ТС: Nissan X-Trail гос. номер: У654РТ56",2022-02-02,600,Nissan X-Trail,У654РТ56
487,"Заказ-наряд №: 3173 от 04.02.2022, ТС: Nissan Almera гос. номер: Т787ММ72",2022-02-04,1000,Nissan Almera,Т787ММ72
488,"Заказ-наряд №: 3175 от 08.02.2022, ТС: Nissan X-Trail гос. номер: У654РТ56",2022-02-08,1000,Nissan X-Trail,У654РТ56
489,"Заказ-наряд №: 3176 от 04.02.2022, ТС: Opel Corsa гос. номер: Р641ТХ72",2022-02-04,5700,Opel Corsa,Р641ТХ72
490,"Заказ-наряд №: 3177 от 04.02.2022, ТС: Toyota Avensis гос. номер: А405МО89",2022-02-04,1000,Toyota Avensis,А405МО89
491,"Заказ-наряд №: 3179 от 16.02.2022, ТС: BMW 116I гос. номер: М611ТМ86",2022-02-16,1000,BMW 116I,М611ТМ86
492,"Заказ-наряд №: 3184 от 04.02.2022, ТС: Lexus LS460 L гос. номер: C499HH89",2022-02-04,1000,Lexus LS460 L,C499HH89
493,"Заказ-наряд №: 3192 от 04.02.2022, ТС: Mercedes-Benz G500 гос. номер: у 813 ср 72",2022-02-04,8000,Mercedes-Benz G500,у 813 ср 72
494,"Заказ-наряд №: 3195 от 05.02.2022, ТС: Mercedes-Benz GL 500 4MA гос. номер:T175EC72",2022-02-05,1000,Mercedes-Benz GL 500 4MA,175EC72
495,"Заказ-наряд №: 3200 от 05.02.2022, ТС: Toyota Corolla гос. номер: С684МТ72",2022-02-05,1000,Toyota Corolla,С684МТ72
496,"Заказ-наряд №: 3201 от 05.02.2022, ТС: Mazda 6 гос. номер: Р043УР102",2022-02-05,1000,Mazda 6,Р043УР102
497,"Заказ-наряд №: 3202 от 05.02.2022, ТС: Renault Duster гос. номер: Т376СР72",2022-02-05,2000,Renault Duster,Т376СР72
498,"Заказ-наряд №: 3208 от 06.02.2022, ТС: ГАЗ Некст гос. номер: М269АМ159",2022-02-06,2000,ГАЗ Некст,М269АМ159
499,"Заказ-наряд №: 3209 от 06.02.2022, ТС: Toyota Camry гос. номер: Н271РС174",2022-02-06,1000,Toyota Camry,Н271РС174
500,"Заказ-наряд №: 3210 от 06.02.2022, ТС: Kia Sorento гос. номер: Т649РР72",2022-02-06,2000,Kia Sorento,Т649РР72
501,"Заказ-наряд №: 3213 от 06.02.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-02-06,1500,Toyota Hilux Pick Up,777
502,"Заказ-наряд №: 3214 от 06.02.2022, ТС: BMW X6 гос. номер: К050РХ72",2022-02-06,1000,BMW X6,К050РХ72
503,"Заказ-наряд №: 3215 от 06.02.2022, ТС: RENO SANDERO гос. номер: Р976ТН72",2022-02-06,1000,RENO SANDERO,Р976ТН72
504,"Заказ-наряд №: 3216 от 10.02.2022, ТС: Mercedes-Benz WDB A140 E гос. номер:Е623ОХ72",2022-02-10,7700,Mercedes-Benz WDB A140 E,623ОХ72
505,"Заказ-наряд №: 3217 от 12.02.2022, ТС: Chevrolet Captiva гос. номер: Т486ХН86",2022-02-12,8350,Chevrolet Captiva,Т486ХН86
506,"Заказ-наряд №: 3220 от 22.02.2022, ТС: ДЖИП GRAND CHEROKEE гос. номер:О699УХ72",2022-02-22,1000,ДЖИП GRAND CHEROKEE,699УХ72
507,"Заказ-наряд №: 3222 от 08.12.2022, ТС: Toyota Highlander гос. номер: М895ХК86",2022-12-08,1000,Toyota Highlander,М895ХК86
508,"Заказ-наряд №: 3247 от 08.02.2022, ТС: LADA GFL 110 VESTA гос. номер: Х268ЕТ797",2022-02-08,1000,LADA GFL 110 VESTA,Х268ЕТ797
509,"Заказ-наряд №: 3249 от 08.02.2022, ТС: LADA VESTA GFK 110 гос. номер:М213ЕР797",2022-02-08,3000,LADA VESTA GFK 110,213ЕР797
510,"Заказ-наряд №: 3252 от 08.02.2022, ТС: Peugeot 207 гос. номер: Н815УН72",2022-02-08,1000,Peugeot 207,Н815УН72
511,"Заказ-наряд №: 3254 от 08.02.2022, ТС: LADA  GRАNТА 219010 гос. номер:А007ТМ72",2022-02-08,1000,LADA  GRАNТА 219010,007ТМ72
512,"Заказ-наряд №: 3256 от 11.02.2022, ТС: Geely МК-CROSS гос. номер: Т987НВ45",2022-02-11,1000,Geely МК-CROSS,Т987НВ45
513,"Заказ-наряд №: 3260 от 09.02.2022, ТС: ВАЗ 2131 4x4 Нива гос. номер: А221МН 89",2022-02-09,500,ВАЗ 2131 4x4 Нива,А221МН 89
514,"Заказ-наряд №: 3262 от 09.02.2022, ТС: ВАЗ Веста гос. номер: Т544ЕР72",2022-02-09,1000,ВАЗ Веста,Т544ЕР72
515,"Заказ-наряд №: 3264 от 09.02.2022, ТС: ВАЗ 2131 4x4 Нива гос. номер: А221МН 89",2022-02-09,500,ВАЗ 2131 4x4 Нива,А221МН 89
516,"Заказ-наряд №: 3266 от 09.02.2022, ТС: BMW 116I гос. номер: У485РР72",2022-02-09,1000,BMW 116I,У485РР72
517,"Заказ-наряд №: 3286 от 12.02.2022, ТС: Skoda Octavia гос. номер: Н254МО72",2022-02-12,150,Skoda Octavia,Н254МО72
518,"Заказ-наряд №: 3287 от 15.02.2022, ТС: Ford Focus гос. номер: С477КР 45",2022-02-15,9800,Ford Focus,С477КР 45
519,"Заказ-наряд №: 3294 от 11.02.2022, ТС: Инфинити FA37 гос. номер: О359ЕС159",2022-02-11,1000,Инфинити FA37,О359ЕС159
520,"Заказ-наряд №: 3297 от 11.02.2022, ТС: Kia Rio гос. номер: У729РТ777",2022-02-11,1000,Kia Rio,У729РТ777
521,"Заказ-наряд №: 3300 от 11.02.2022, ТС: Lexus LS460 L гос. номер: C499HH89",2022-02-11,1000,Lexus LS460 L,C499HH89
522,"Заказ-наряд №: 3301 от 13.02.2022, ТС: Chevrolet NIVA гос. номер: О041ХС86",2022-02-13,2700,Chevrolet NIVA,О041ХС86
523,"Заказ-наряд №: 3305 от 12.02.2022, ТС: Renault Logan гос. номер: У581СМ72",2022-02-12,900,Renault Logan,У581СМ72
524,"Заказ-наряд №: 3308 от 13.02.2022, ТС: ВАЗ 21124 гос. номер: Р556НА 45",2022-02-13,2000,ВАЗ 21124,Р556НА 45
525,"Заказ-наряд №: 3310 от 12.02.2022, ТС: Skoda Rapid гос. номер: В848ХЕ178",2022-02-12,100,Skoda Rapid,В848ХЕ178
526,"Заказ-наряд №: 3312 от 12.02.2022, ТС: Mercedes-Benz ML-Class гос. номер:У885КН72",2022-02-12,2500,Mercedes-Benz ML-Class,885КН72
527,"Заказ-наряд №: 3317 от 13.02.2022, ТС: ЛАДА ПРИОРА 217230 гос. номер: У781ТХ72",2022-02-13,1000,ЛАДА ПРИОРА 217230,У781ТХ72
528,"Заказ-наряд №: 3318 от 13.02.2022, ТС: ВАЗ 21099 гос. номер: А759ОЕ72",2022-02-13,3000,ВАЗ 21099,А759ОЕ72
529,"Заказ-наряд №: 3330 от 16.02.2022, ТС: Toyota Camry гос. номер: Р633МУ71",2022-02-16,500,Toyota Camry,Р633МУ71
530,"Заказ-наряд №: 3331 от 15.02.2022, ТС: Kia Ceed гос. номер: В194КТ186",2022-02-15,1400,Kia Ceed,В194КТ186
531,"Заказ-наряд №: 3334 от 10.02.2022, ТС: Lexus LS460 L гос. номер: C499HH89",2022-02-10,6000,Lexus LS460 L,C499HH89
532,"Заказ-наряд №: 3336 от 23.02.2022, ТС: Hyundai Solaris гос. номер: Т657ЕХ72",2022-02-23,1000,Hyundai Solaris,Т657ЕХ72
533,"Заказ-наряд №: 3338 от 16.02.2022, ТС: УАЗ 390945 гос. номер: Х602ХК174",2022-02-16,5000,УАЗ 390945,Х602ХК174
534,"Заказ-наряд №: 3340 от 23.02.2022, ТС: Kia Rio гос. номер: ",2022-02-23,1000,Kia Rio,
535,"Заказ-наряд №: 3342 от 15.02.2022, ТС: Audi A4 гос. номер: М082СК196",2022-02-15,1000,Audi A4,М082СК196
536,"Заказ-наряд №: 3343 от 19.02.2022, ТС: Hyundai Solaris гос. номер: А183СТ197",2022-02-19,1000,Hyundai Solaris,А183СТ197
537,"Заказ-наряд №: 3344 от 17.02.2022, ТС: Kia Optima гос. номер: А383ТА197",2022-02-17,1000,Kia Optima,А383ТА197
538,"Заказ-наряд №: 3345 от 19.02.2022, ТС: Hyundai Elantra гос. номер: Н793ХС197",2022-02-19,1000,Hyundai Elantra,Н793ХС197
539,"Заказ-наряд №: 3346 от 26.02.2022, ТС: Hyundai Sonata гос. номер: Н430ХС197",2022-02-26,6000,Hyundai Sonata,Н430ХС197
540,"Заказ-наряд №: 3347 от 19.02.2022, ТС: Audi A6 гос. номер: О903ОО199",2022-02-19,1000,Audi A6,О903ОО199
541,"Заказ-наряд №: 3348 от 19.02.2022, ТС: Hyundai i40 гос. номер: Т190УТ77",2022-02-19,1000,Hyundai i40,Т190УТ77
542,"Заказ-наряд №: 3349 от 17.02.2022, ТС: Nissan X-Trail гос. номер: Н622КР197",2022-02-17,1000,Nissan X-Trail,Н622КР197
543,"Заказ-наряд №: 3350 от 16.02.2022, ТС: Toyota Corolla гос. номер: У005НТ72",2022-02-16,1000,Toyota Corolla,У005НТ72
544,"Заказ-наряд №: 3355 от 16.02.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-02-16,700,Toyota Hilux Pick Up,777
545,"Заказ-наряд №: 3362 от 16.02.2022, ТС: Mitsubishi Lancer гос. номер: С090РХ72",2022-02-16,1000,Mitsubishi Lancer,С090РХ72
546,"Заказ-наряд №: 3363 от 16.02.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-02-16,500,Toyota Hilux Pick Up,777
547,"Заказ-наряд №: 3379 от 09.03.2022, ТС: Opel Insignia гос. номер: У806РМ72",2022-03-09,3000,Opel Insignia,У806РМ72
548,"Заказ-наряд №: 3380 от 18.02.2022, ТС: Datsun On-Do гос. номер: С193ЕМ72",2022-02-18,1400,Datsun On-Do,С193ЕМ72
549,"Заказ-наряд №: 3381 от 18.02.2022, ТС: Toyota Hilux Pick Up гос. номер: 777",2022-02-18,600,Toyota Hilux Pick Up,777
550,"Заказ-наряд №: 3382 от 18.02.2022, ТС: Kia Rio гос. номер: Р830ТР72",2022-02-18,1600,Kia Rio,Р830ТР72
551,"Заказ-наряд №: 3384 от 18.02.2022, ТС: Mazda CX-5 гос. номер: С602КУ72",2022-02-18,500,Mazda CX-5,С602КУ72
552,"Заказ-наряд №: 3388 от 19.02.2022, ТС: Kia Rio гос. номер: С986КК72",2022-02-19,1000,Kia Rio,С986КК72
553,"Заказ-наряд №: 3390 от 19.02.2022, ТС: Nissan Almera гос. номер: Р947ЕТ72",2022-02-19,3500,Nissan Almera,Р947ЕТ72
554,"Заказ-наряд №: 3397 от 19.02.2022, ТС: Kia Cerato гос. номер: У616ОУ72",2022-02-19,6000,Kia Cerato,У616ОУ72
555,"Заказ-наряд №: 3398 от 20.02.2022, ТС: Nissan Almera гос. номер: Р947ЕТ72",2022-02-20,500,Nissan Almera,Р947ЕТ72
556,"Заказ-наряд №: 3405 от 22.02.2022, ТС: Lifan 215800 гос. номер: О199РС 72",2022-02-22,3000,Lifan 215800,О199РС 72
557,"Заказ-наряд №: 3406 от 20.02.2022, ТС: Hyundai Solaris гос. номер: А501РХ89",2022-02-20,1000,Hyundai Solaris,А501РХ89
558,"Заказ-наряд №: 3407 от 20.02.2022, ТС: Toyota RAV4 гос. номер: Р266ТХ72",2022-02-20,5000,Toyota RAV4,Р266ТХ72
559,"Заказ-наряд №: 3408 от 23.02.2022, ТС: Инфинити FA37 гос. номер: О359ЕС 159",2022-02-23,1000,Инфинити FA37,О359ЕС 159
560,"Заказ-наряд №: 3412 от 22.02.2022, ТС: ВАЗ 21213 гос. номер: Т550ВЕ45",2022-02-22,2500,ВАЗ 21213,Т550ВЕ45
561,"Заказ-наряд №: 3414 от 29.08.2022, ТС: Chevrolet Cruze гос. номер: Н959ХХ72",2022-08-29,1500,Chevrolet Cruze,Н959ХХ72
562,"Заказ-наряд №: 3415 от 20.02.2022, ТС: СOOPER GLUBMAH гос. номер: У804НУ72",2022-02-20,1000,СOOPER GLUBMAH,У804НУ72
563,"Заказ-наряд №: 3427 от 22.02.2022, ТС: Datsun On-Do гос. номер: У371ТХ72",2022-02-22,1000,Datsun On-Do,У371ТХ72
