Наименование работ,Цена,Дата
Слив бензина,1000,2021-12-04
Электротехнические работы,500,2021-12-04
Компютерная диагностика поиск неисправности,1000,2021-12-04
Ремонт стартера,2000,2021-12-04
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-12-05
Замена В/В проводов ДВС,300,2021-12-05
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-12-05
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-12-05
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-12-16
"Заправка кондиц.(газ,масло)и экспресс диагностика легковые авто",1700,2021-12-08
Электротехнические работы,1000,2021-12-07
Электротехнические работы,2500,2021-12-07
Компютерная диагностика поиск неисправности,1000,2021-12-07
Электротехнические работы,400,2021-12-08
Компютерная диагностика поиск неисправности,1000,2021-12-10
Компютерная диагностика поиск неисправности,1000,2021-12-08
Снять стартер,750,2021-12-09
Компютерная диагностика поиск неисправности,1000,2022-01-05
Компютерная диагностика поиск неисправности,1000,2021-12-10
Поиск неисправности,500,2021-12-10
Компютерная диагностика поиск неисправности,1000,2021-12-10
Замена дроссельной заслонки,1000,2021-12-10
Компютерная диагностика поиск неисправности,1000,2021-12-10
Электротехнические работы,500,2021-12-10
Электротехнические работы,1000,2021-12-11
Электротехнические работы,2000,2021-12-11
Компютерная диагностика поиск неисправности,1000,2021-12-11
Проверка электроцепей ЭСУД,4000,2021-12-11
Ремонт печки,1000,2021-12-11
Ремонт электропроводки ЭСУД,2000,2021-12-11
Компютерная диагностика поиск неисправности,1000,2021-12-11
Дефектовка  генератора разборка - ремонт -сборка,2500,2021-12-12
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-12-12
Замена ЭУР,5500,2021-12-15
Замена свечей зажигания 4 цилиндр. ДВС,400,2021-12-15
Электротехические работы,3000,2021-12-14
Разборка дефектова замена сборка,2500,2021-12-15
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-12-14
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-12-15
Замена катушки зажигания 1 шт.,500,2021-12-15
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",500,2021-12-15
"Простая замена эл ламп освещения,DS-2(1 шт),DS-3(1 шт)",400,2021-12-15
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-12-15
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-12-15
Замена катушки зажигания 1 шт.,300,2021-12-10
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-12-15
Замена катушки зажигания 1 шт.,100,2021-12-15
Замена свечей зажигания 4 цилиндр. ДВС,400,2021-12-15
Замена лампы ПТФ,500,2021-12-17
Компютерная диагностика поиск неисправности,1000,2021-12-17
Промывка инжекторов,2200,2021-12-17
Компютерная диагностика поиск неисправности,1000,2021-12-18
Замена лампы,500,2021-12-18
Компютерная диагностика поиск неисправности,1000,2021-12-25
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-12-19
Электротехнические работы ремонт электропроводки замена эл ламп,2000,2021-12-19
Электротехнические работы,3000,2021-12-21
Электротехнические работы,1500,2021-12-21
Компютерная диагностика поиск неисправности,2000,2021-12-21
Компютерная диагностика поиск неисправности,1000,2021-12-22
Компютерная диагностика поиск неисправности,1000,2021-12-22
Ремонт электропроводки,2000,2021-12-22
Компютерная диагностика поиск неисправности,1000,2021-12-22
Компютерная диагностика поиск неисправности,1000,2021-12-22
Компютерная диагностика поиск неисправности,1000,2021-12-22
Ремонт электропроводки,5000,2021-12-22
Замена лампы,200,2021-12-22
Компютерная диагностика поиск неисправности,1000,2021-12-23
"Проверка датчиков парктроников, прозвонка цепей, замена , настройка",2000,2021-12-23
Электротехнические работы,1000,2021-12-24
Компютерная диагностика поиск неисправности,1000,2021-12-24
Электротехнические работы,1500,2021-12-25
Компютерная диагностика поиск неисправности,2000,2021-12-25
Компютерная диагностика поиск неисправности,1000,2021-12-25
Электротехнические работы,1000,2021-12-25
Электротехнические работы,500,2021-12-25
Электротехнические работы,1500,2021-12-25
Ремонт электропроводки,1000,2021-12-26
Разборка ремонт сборка стартера,1500,2021-12-26
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-12-26
Электротехнические работы,13000,2021-12-26
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-12-29
"Проверка блока управления ДВС ,электротехнические работы",1000,2021-12-29
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-12-29
Промывка инжекторов,1900,2021-12-29
"Простая замена эл ламп освещения стоп-сигналы,поворотники,габариты,подсветканомера,салон",100,2021-12-29
Компютерная диагностика поиск неисправности,1000,2021-12-29
Компютерная диагностика поиск неисправности,1000,2021-12-21
Демонтаж - монаж вентилятора печки,1000,2021-12-29
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-12-29
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-12-29
Ремонт электропроводки АКПП,2500,2021-12-29
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-12-30
Замена лампы,250,2021-12-30
Разборка дефектовка ремонт сборка подогревателя,5000,2021-12-30
Ремонт блока упарвления,5000,2021-12-30
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2022-01-04
Заряд АКБ,500,2022-01-04
Очистка клем питания,500,2022-01-04
Замена эл ламп,1200,2022-01-04
Ремонт фонаря,1000,2022-01-04
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2022-01-04
Замена эл ламп,600,2022-01-04
Ремонт проводки,1000,2022-01-04
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2022-01-04
Замена переключателя поворотов,500,2022-01-05
Замена эл ламп дальнего  света,300,2022-01-05
Ремонт переключателя поворотов,1000,2022-01-05
Ремонт разъема эл лампа ближний свет,400,2022-01-05
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2022-01-04
Компютерная диагностика поиск неисправности,1000,2022-01-06
Замер компрессии ДВС,1000,2022-02-03
Компютерная диагностика поиск неисправности,1000,2022-02-03
Ремонт электропроводки,500,2022-01-05
замена  камеры заднего вида,1500,2022-01-05
Компютерная диагностика поиск неисправности,1000,2022-01-05
Электротехнические работы,700,2022-01-05
Ремонт генератора,1000,2022-01-05
Компютерная диагностика поиск неисправности,1000,2022-01-08
Замена лампы,500,2022-01-08
Ремонт генератора,2000,2022-01-08
Электротехнические работы,4150,2022-01-08
"Электротехнические работы, ремонт блока управления водительским креслом",2000,2022-01-08
Установка отопителя салона,6500,2022-01-09
Ремонт блока предохранителей,2500,2022-01-09
Ремонт стартера,2000,2022-01-12
Компютерная диагностика поиск неисправности,1000,2022-01-11
Электротехнические работы,1500,2022-01-14
Ремонт генератора,2500,2022-01-12
Компютерная диагностика поиск неисправности,1000,2022-01-12
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2022-01-12
Замена мотора печки салона,1500,2022-01-12
Ремонт брелока сигнализации,1000,2022-01-12
Электротехнические работы,2500,2022-01-12
Электротехнические работы,500,2022-01-12
Ремонт брелока сигнализации,800,2022-01-13
Замена катушки зажигания 1 шт.,1000,2022-01-14
Компютерная диагностика поиск неисправности,1000,2022-01-14
Ремонт генератора,2500,2022-01-14
Компютерная диагностика поиск неисправности,1000,2022-01-15
Замена лам передних ПТФ с ремонтом электропроводки,2000,2022-01-15
Компютерная диагностика поиск неисправности,1000,2022-01-15
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2022-01-16
Разборка .дефектовка ремонт сборка генератора,1500,2022-01-18
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2022-01-18
Демонтаж форсунок,600,2022-01-18
Установка камеры заднего вида,2500,2022-01-18
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2022-01-16
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2022-01-16
Проверка ремонт эл цепей блока комфорта,2000,2022-01-16
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2022-01-18
Промывка форсунок,1900,2022-01-18
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2022-01-18
Замена фар головного света демонтаж монтаж со снятием бампреа переднего,2500,2022-01-28
Прошивка БУ ДВС EURO 2,8000,2022-01-28
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2022-01-19
Ремонт электропроводки,1000,2022-01-19
Замена лампы ДХО,200,2022-01-19
Электротех тех работы,500,2022-01-19
Замена лампы ДХО,100,2022-01-19
Замена сервопривода отопителя,1500,2022-01-21
Ремонт лягушки педали тормоза,600,2022-01-19
"Заправка кондиц.(газ,масло)и экспресс диагностика легковые авто",1700,2022-01-21
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2022-02-08
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2022-01-21
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2022-01-21
Замена разьема лампы стопсигнала,300,2022-01-21
Электротехнические работы,5500,2022-01-21
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2022-01-22
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2022-01-22
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2022-01-22
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",2000,2022-01-22
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2022-01-24
Диагнстика ЭСУД,1200,2022-01-25
Диагностика ЭСУД,1000,2022-01-25
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2022-01-25
Диагностика ЭСУД,1000,2022-01-25
Диагностика ЭСУД,1000,2022-01-25
Замена свечей зажигания 4 цилиндр. ДВС,400,2022-01-26
Диагностика ЭСУД,1000,2022-01-26
Электротехнические работы,1000,2022-01-26
Компъютерная диагностика,1000,2022-04-04
Проверка электроцепи и сигнала ДПРВ осциллографом,1000,2022-04-04
Регулировка трапеции дворников,500,2022-01-26
Диагностика ЭСУД,1000,2022-01-26
Замена свечей,400,2022-01-26
Диагностика ЭСУД,1000,2022-01-26
Проверка электропроводки ДСК - Блок АВС,1000,2022-01-26
Разборка сборка генератора,2000,2022-01-26
Диагностика,1000,2022-01-26
Замена катушки зажигания,300,2022-01-26
Диагностика ЭСУД,1000,2022-01-27
Профилактические работы  контактов,300,2022-01-28
Электротехнические работы,1000,2022-01-28
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2022-01-28
Диагностика ЭСУД,1000,2022-01-28
Промывка форсунок,2250,2022-01-29
Профилактичческие работы датчика,2000,2022-01-29
Диагностика ДС,1000,2022-01-30
Свечизажигания-снятие/установка,400,2022-01-30
Диагностика ЭСУД,1000,2022-01-30
Замена датчика температуры,300,2022-01-30
Замена лампочек,1000,2022-01-30
Диагностика ЭСУД,1000,2022-01-30
Диагностика ЭСУД,1000,2022-01-30
Профилактические работы гнезда (патрона) задней правой  лампочки,300,2022-01-30
Осмотр,0,2022-01-30
Диагностика ЭСУД,1000,2022-02-01
Замена ДМРВ,500,2022-02-01
Замена лампочки ПТФ,400,2022-02-01
Замена модуля и свечей с профилактическими работами,1500,2022-02-01
Замена бампера переднего,1000,2022-02-01
Пдключение ксенона,1000,2022-02-01
Ремонт Вебасты,5000,2022-02-02
Чистка Помпы Вебасты,1000,2022-02-02
Диагнотика ЭСУД,1000,2022-02-02
Дросель С/У,500,2022-02-02
Замена лампы ДХО,100,2022-02-02
Диагностика ЭСУД,1000,2022-02-02
Проверка стартера,500,2022-02-02
Разборка дефектовка сборка стартера,500,2022-02-02
Диагностика ЭСУД,1000,2022-02-02
Диагностика ЭСУД,1000,2022-02-02
Замена свечей,400,2022-02-02
Куплена  по терминалу незамерзайка,0,2022-02-12
Диагностика,1000,2022-02-02
Замена лампочек,450,2022-02-02
Ремонт электропроводки дворников,1500,2022-02-02
Ремонт электропроводки задних фонарей,2000,2022-02-02
Диагнстика ЭСУД,600,2022-02-02
Замена лампочки подсветки номера,400,2022-02-04
Замена хомута на шланге ГУР,150,2022-02-04
Ремонт электропроводки,450,2022-02-04
Диагностика ЭСУД,1000,2022-02-08
Диагностика ЭСУД,1000,2022-02-04
Лампа заднего сигнала поворота,300,2022-02-04
Ремонт заднего левого фонаря,1800,2022-02-04
Ремонт электроцепей сигнализации,2500,2022-02-04
лампа стоп сигнал,100,2022-02-04
Профилактические работы по Вебасте,1000,2022-02-04
Диагностика ЭСУД,1000,2022-02-16
Диагностика ЭСУД,1000,2022-02-04
Компютерная диагностика поиск неисправности,1000,2022-02-04
Проверка электроцепей кузовного блока и ремонт,3000,2022-02-04
Ремонт педали акселератора газа,4000,2022-02-04
Диагностика,1000,2022-02-05
Диагностика ЭСуД,1000,2022-02-05
Диагностика ЭСУД,1000,2022-02-05
Промывка форсунок,2000,2022-02-05
Замена фонарей подсветки номерного знака,500,2022-02-06
Ремонт электропроводки фонарей подсветки номерного знака,500,2022-02-06
Снятие усмтановка фонаря переднего левого,1000,2022-02-06
Снятие блока ЭРА-Глонасс,1000,2022-02-06
Электротехнические работы,2000,2022-02-06
Диагностика,1000,2022-02-06
Замена лампочек,500,2022-02-06
Диагностика ЭСУД,1000,2022-02-06
Диагностика ЭСУД,1000,2022-02-06
"Блок  селектора с/у, разборка, сборка и пропайка",4000,2022-02-10
Диагностика ЭСУД,1000,2022-02-10
"Проверка датчика наружной температуры,датчика давления хладагента",1000,2022-02-10
Проверка модуля зажигания компрессии целиндра,1000,2022-02-10
Проверка резистора печки со снятием,700,2022-02-10
АКБ- Замена,500,2022-02-12
Диагностика ЭСУД,1000,2022-02-12
Замана сирены сигнализации,400,2022-02-12
Замена лампочек дополнительного тормоза на задней двери,500,2022-02-12
Замена лампочки ПТФ правая,500,2022-02-12
Замена лампочки подсветки номера,150,2022-02-12
Заправка кондиционера,1700,2022-02-12
Поиск неисправности электроцепи стеклоподьемников,1200,2022-02-12
Проверка моторчиков Омывателя,1000,2022-02-12
Ремонт брелка сигнализации,400,2022-02-12
Снятие ЭРО-Глонасс,1000,2022-02-12
Диагностика,1000,2022-02-22
Компютерная диагностика поиск неисправности,1000,2022-12-08
Диагностика ЭСУД,1000,2022-02-08
Диагностика ЭСУД,1000,2022-02-08
Профилактические работы жгутов соединения,2000,2022-02-08
Диагностика ЭСУД,1000,2022-02-08
Диагностика ЭСУД,1000,2022-02-08
Дефектовка и ремонт стартера,1000,2022-02-11
Замена датчика детонации,500,2022-02-09
Диагностика ЭСУД,1000,2022-02-09
Диагностика,500,2022-02-09
Диагностика ЭСУД,1000,2022-02-09
Замена лампочки ХДО передней правой,150,2022-02-12
Диагностика ЭСУД,1000,2022-02-15
Проверка АКБ-замена,300,2022-02-15
"Проверка системы  стеклоочистителя,перестановка дворников",1000,2022-02-15
"Проверка электроцепей ЭБУ задней левой  двери, ремонт",3000,2022-02-15
"Проверка электроцепей аудиосистемы, ремонт",1000,2022-02-15
"Прозвонка электроцепей реле стартера, поитск КЗ блока предохран.моторного отсека,ремонт",3500,2022-02-15
Диагностика ЭСУД,1000,2022-02-11
Ремонт электропроводки,1000,2022-02-11
Диагностика ЭСУД,1000,2022-02-11
Привод стартера ( Бендикс ) LADA 2123  / 4x4 / Chevrolet Niva - снятие установка,700,2022-02-13
Электротехнические работы,2000,2022-02-13
Диагностика ЭСУД,900,2022-02-12
Диагностика ЭСУД,1000,2022-02-13
Электротехнические работы по бензонасосу,1000,2022-02-13
Замена лампы головного освещения,100,2022-02-12
Бампер передний - снятие/установка,1500,2022-02-12
Диагностика ЭСУД,1000,2022-02-12
Диагностика ЭСУД,1000,2022-02-13
Диагностика ЭСУД,1000,2022-02-13
Замена ручек двери,2000,2022-02-13
Диффектовка генератора,500,2022-02-16
Диагностика ЭСУД,1000,2022-02-15
Свечизажигания-замена,400,2022-02-15
Диагностика ЭСУД,1000,2022-02-10
Инициализация Vers,1000,2022-02-10
Проверка электроцепей системы VERS и ремонт,4000,2022-02-10
Диагностика ЭСУД,1000,2022-02-23
Ремонт(восстановление)электропроводки задних фонарей,4000,2022-02-16
Фонарь задний-замена,1000,2022-02-16
Диагностика ЭСУД,1000,2022-02-23
Диагностика ЭСУД,1000,2022-02-15
Диагностика ЭСУД,1000,2022-02-19
Диагностика ЭСУД,1000,2022-02-17
Диагностика ЭСУД,1000,2022-02-19
Диагностика ЭСУД,1000,2022-02-26
Проверка электроцепей  ДК2,1000,2022-02-26
Ремонт электропроводки,4000,2022-02-26
Диагностика ЭСУД,1000,2022-02-19
Диагностика ЭСУД,1000,2022-02-19
Диагностика ЭСУД,1000,2022-02-17
Дефектовка и замена щеток,1000,2022-02-16
Ремонт антены,700,2022-02-16
Диагностика ЭСУД,1000,2022-02-16
Электротехнические работы,500,2022-02-16
Диагностика ЭСУД,1000,2022-03-09
Ремонт ремня системы безопасности водительской стороны,2000,2022-03-09
Диагностика,1000,2022-02-18
Свечизажигания-снятие/установка,400,2022-02-18
Замена датчика кислорода,600,2022-02-18
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2022-02-18
Замена катушки зажигания,200,2022-02-18
Свечизажигания-снятие/установка,400,2022-02-18
Разведение задних колодок,500,2022-02-18
Диагностика ЭСУД,1000,2022-02-19
Диагностика ЭСУД,1000,2022-02-19
Замена датчика распредвала,500,2022-02-19
Проверка сигнала ДПКВ+ДПРВ,2000,2022-02-19
Замена лампы поворота,200,2022-02-19
Ремонт блока кнопоу руля,1000,2022-02-19
Ремонт панели приборов,2000,2022-02-19
Ремонт плафонов  салона,800,2022-02-19
Ремонт подрулевого переключателя,2000,2022-02-19
Электротехнические работы,500,2022-02-20
Диагностика ЭСУД,1000,2022-02-22
"Замер давленния топлива, проверка давления в коллеторе",2000,2022-02-22
Диагностика ЭСУД,1000,2022-02-20
Диагностика ЭСУД,1000,2022-02-20
Поиск и удаление блокировки бензонасоса,4000,2022-02-20
Диагностика ЭСУД,1000,2022-02-23
Замена ламп передних,400,2022-02-22
Лампы задних фонарей,900,2022-02-22
Фара задняя  левая  снятие/установка,400,2022-02-22
Фара задняя  правая снятие/установка,800,2022-02-22
Электротехнические работы замена моторчика омывателя,1500,2022-08-29
Диагностика ЭСУД,1000,2022-02-20
Диагностика ЭСУД,1000,2022-02-22
Диагностика ЭСУД,1000,2022-02-22
Диагностика ЭСУД,1000,2022-02-22
Диагностика ЭСУД,1000,2022-02-24
Проверка катушек,1000,2022-02-24
Электротехнические работы,1000,2022-02-24
"Простая замена эл ламп освещения стоп-сигналы,поворотники,габариты,подсветканомера,салон",100,2022-02-22
Диагностика и ремонт электропроводки обогрева заднего стекла,1500,2022-02-22
Диагностика спидометра,1000,2022-02-22
Диагностика цепи стоп сигналов,500,2022-02-22
Замена ламп,450,2022-02-22
Разборка сборка генератора ремонт генератора,2500,2022-02-26
Диагностика ЭСУД,1000,2022-02-22
Диагностика ЭСУД,1000,2022-02-22
Электротехнические работы,1000,2022-02-22
Электротехнические работы,1500,2022-02-22
Диагностика,1000,2022-02-23
Диагностика ЭСУД,1000,2022-02-23
Установка и подключение задних фонарей,2000,2022-02-23
Диагностика,1000,2022-03-02
Замер давления топлива,500,2022-02-26
Компьютерная диагностика,1000,2022-02-26
Диагностика ЭСУД,1000,2022-02-26
Диагностика ЭСУД,1000,2022-02-26
Заправка кондиционера,1700,2022-02-26
Диагностика,1000,2022-02-27
Диагностика ЭСУД,1000,2022-02-27
Диагностика ЗСУД,1000,2022-02-27
Диагностика ЭСУД,1000,2022-02-27
Замена шланга омывателя заднего,500,2022-02-27
Ремонт замка двери водительского,1500,2022-02-27
Ремонт электропроводки подушки безопасности пассажира,500,2022-02-27
Электротехнические работы,1000,2022-02-27
Диагностика,1000,2022-03-02
Электротехнические работы,1000,2022-03-01
Электротехнические работы,500,2022-03-01
Электротехнические работы,2000,2022-03-01
Генератор снять/установить,1000,2022-03-01
Заправка Фреоном,1500,2022-03-01
Ремонт генератора,1500,2022-03-01
Мотор стеклоочистителя.Замена,1500,2022-03-01
Диагностика ЭСУД,1000,2022-03-01
Диагностика ЭСУД,1000,2022-03-12
"Проверка электроцепей ЭСУД, главного реле",2000,2022-03-12
Проверка электроцепит лампы неисправности,1000,2022-03-12
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2022-03-09
Отключение клапана EGR,8000,2022-03-09
Промывка топливной системы,2000,2022-03-09
Диагностика ЭСУД,1000,2022-03-03
Диагностика ЭСУД,1000,2022-03-02
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2022-03-02
Катушка зажигания замена,200,2022-03-02
Свечизажигания- замена,400,2022-03-02
Ремонт электропроводки,2000,2022-03-23
Установка магнитолы,3000,2022-03-02
Диагностика ЭСУД,1000,2022-03-05
Диагностика ЭСУД,1000,2022-03-04
Димагностика ЭСУД,1000,2022-03-04
Электротехнические работы,2000,2022-03-05
Демонтаж - монаж вентилятора печки,1000,2022-09-16
Замена лампы габаритного огня переднего,300,2022-09-16
Замена лампы подсветки номера,150,2022-09-16
Электротехнические работы,2000,2022-03-05
"Вскрытие, замена замков задних дверей",4000,2022-03-10
Диагностика ЭСУД,1000,2022-03-10
"Поиск К3 подсветки приборов, ремонт эл.проводки,замена ламп",5000,2022-03-10
"Проверка электроцепей стеклоочистителя, ремонт",3000,2022-03-10
"Диагностика проверка электроцепей ЭСУД, линий диагностики CAN, и K-Line",2500,2022-03-09
Проверка ЭБУ двигателя прошивка иммобилайзера (отключен в ЭБУ),3000,2022-03-09
"Проверка ЭСУД без диагностического ПО ( давление топлива, подсос воздуха)",1500,2022-03-09
Диагностика ЭСУД,1000,2022-03-07
Чистка клапана ХХ без снятия,500,2022-03-07
Диагностика ЭСУД,1000,2022-03-06
Замена ламп ПТФ задних фонарей на бампере,300,2022-03-19
Ремонт электропроводки,1000,2022-03-19
Диагностика ЭСУД,1000,2022-03-10
Ремонт проводки вентилятора профилактические работы по реле и пинам,2000,2022-03-10
"Диагностика климат контроля, чистка датчика темпереатуры салона",1000,2022-03-15
Диагностика корректора,500,2022-03-15
Диагностика ЭСУД,1000,2022-03-09
Диагностика электрооборудования с профилактическими работами пинов и контактовмас,3500,2022-03-09
Датчик кислорода(лямдазонд)-снятие/установка,1000,2022-03-09
Диагностика ЭСУД,1000,2022-03-09
Диагностика ЭСУД,1000,2022-03-11
Ремонт генератора,500,2022-03-09
Диагностика ЭСУД,1000,2022-03-09
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2022-03-11
Замена катушки зажигания 1 шт.,200,2022-03-11
Свечи зажигания- замена,400,2022-03-11
Электротехнические работы,500,2022-03-11
Замена предохранителей,100,2022-03-11
Электротехнические работы,500,2022-03-11
Ремонт генератора,2500,2022-03-11
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2022-03-11
Замена свечи накала,500,2022-03-11
Диагностика ЭСУД,1000,2022-03-16
Замена датчика АБС,3000,2022-03-16
Промывка форсунок,2300,2022-03-16
Диагностика ЭСУД,1000,2022-03-11
Замена лампы габаритного огня,50,2022-03-12
Замена лампы стоп сигнала,50,2022-03-12
Фонарь задний левый С/У,500,2022-03-12
Диагностика ЭСУД,1000,2022-03-12
Замена лампочек,600,2022-03-13
Диагностика Эсул,1000,2022-03-13
Диагностика Эсуд,1000,2022-03-13
Электротехнические работы,1000,2022-03-13
Электротехнические работиы,1000,2022-03-13
Замена лампочки переднего поворота правого,150,2022-03-15
Замена ламы ближнего света левая,300,2022-03-15
Проверка электроцепи правого поворотника,1000,2022-03-15
Диагностика ЭСУД,1000,2022-03-15
Замена лампочки,100,2022-03-15
Диагностика ЭСУД,1000,2022-03-19
Прошивка кода для магнитолы,1000,2022-03-19
Ремонт кнопок подогрева сидения,2000,2022-03-19
Диагностика ЭСУД,1000,2022-03-17
Проверка давления топлива,1000,2022-03-17
Диагностика подвески электронная,1000,2022-03-15
Механическая колибровка подвески,1000,2022-03-15
Проверка уровня масла в подвеске,500,2022-03-15
Промывка очистка форсунок,2500,2022-03-16
Электротехнические работы,2000,2022-03-16
Диагностика ЭСУД,1000,2022-03-16
Диагностика,1000,2022-03-18
Ремонт вентилятора,1500,2022-03-18
Диагностика,1000,2022-04-05
Установка розетка прицепного устройства,1500,2022-03-18
Электротехнические работы,1000,2022-03-18
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2022-03-11
Диагностика ЭСУД,1000,2022-03-11
Диагностика ЭСУД,1000,2022-03-18
Профилактические работы по пинам и разъемам,1000,2022-03-18
Диагностика ЭСУД,1000,2022-03-19
Замена ламп стоп сигнала задних фонарей,300,2022-03-19
Замена лампы габаритного огня,900,2022-03-19
Замена лампы подсветки номерного знака,300,2022-03-19
Электротехничекие работы и ремонт проводки,3000,2022-03-19
Замена датчика пол.дросселя,300,2022-03-19
Компъютерная диагностика проверка эл.цепей д.пол. дрос.,1000,2022-03-19
Диагностика ЭСУД,1000,2022-03-19
Дефектовка стартера,500,2022-03-20
Замена лампы головного освещения,500,2022-03-20
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2022-03-20
Диагностика ЭСУД,1000,2022-03-23
Проверка давления в топливной рампе,1000,2022-03-23
Компъютерная диагностика углубленная проверка ЭСУД,2000,2022-03-22
Проверка напряжения заояда АКБ,500,2022-03-22
Промывка очистка форсунок,2300,2022-03-22
Диагностика ЭСУД,1000,2022-03-22
Замена датчика положения дросельной  заслонки,800,2022-03-22
Диагностика ЭСУД,1000,2022-03-24
Углубленная диагностика по выявлению дефекта блока подушек безопасности,2000,2022-03-24
Диагностика ЭСУД,1000,2022-03-24
 ДиагностикаДВС  мотор-тестом,3000,2022-03-25
Диагнотические работы ЭСУД,1000,2022-03-25
Замер компрессии ДВС,1000,2022-03-25
Диагногстика электроцепей ЭСУД,1000,2022-03-22
Диакгностика компъютерная,1000,2022-03-22
Ремонт электропроводки,500,2022-03-22
Замена лампочек,1000,2022-03-23
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",500,2022-03-25
Заправка кондиционера,3700,2022-06-24
Диагностка ЭСУД,1000,2022-03-27
Диагностика ЭСУД,1000,2022-03-25
Диагностика ЭСУД,1000,2022-03-25
Замена датчика,500,2022-03-25
Электротехнические работы,800,2022-03-25
Электротехнические работы,500,2022-03-25
Диагностика ЭСУД,1000,2022-03-28
Замена свечи зажигания ДВС,450,2022-03-28
Проверка и замена предохранителя,500,2022-03-27
Электротехнические работы,2000,2022-03-27
Элекктротехнические работы,3000,2022-03-27
Элекктротехнические работы,500,2022-03-27
Диагностика ЭСУД,1000,2022-03-28
Диагностика ЭСУД,500,2022-03-27
Ремонт генератора,500,2022-03-27
